,Chave do item,ID do item,Chave do projeto,Prioridade,Solicitante,Responsável,Campo personalizado (Enviado para N2),Criado,Atualizado,Campo personalizado (Ambiente),Campo personalizado (Categoria),Campo personalizado (Client ID)
648,PLAT-57200,57200,PLAT,Low,Agent40,Analist14,19/06/24 11:25 AM,19/06/24 11:09 AM,19/06/24 12:25 PM,Product 4,Category22,316
649,SITE-36526,36526,SITE,Low,Agent24,Analist1,19/06/24 11:06 AM,19/06/24 11:06 AM,20/06/24 4:43 AM,Product 4,Category9,392
650,PLAT-67756,67756,PLAT,Low,Agent20,Analist4,28/06/24 9:38 AM,19/06/24 10:51 AM,28/06/24 9:41 AM,Product 4,Category19,296
651,PLAT-66770,66770,PLAT,Low,Agent15,Analist0,19/06/24 10:47 AM,19/06/24 10:47 AM,19/06/24 2:10 PM,Product 4,Category33,2125
652,ROUT-61027,61027,ROUT,Low,Agent29,Analist30,19/06/24 10:32 AM,19/06/24 10:26 AM,20/06/24 8:32 AM,Product 4,Category19,740
653,ROUT-84084,84084,ROUT,Low,Agent47,Analist30,19/06/24 9:44 AM,19/06/24 9:44 AM,20/06/24 11:13 AM,Product 4,Category29,393
654,PLAT-26016,26016,PLAT,Low,Agent40,Analist9,19/06/24 9:07 AM,19/06/24 9:07 AM,19/06/24 11:29 AM,Product 4,Category2,1624
655,PLAT-08354,08354,PLAT,Low,Agent15,Analist37,19/06/24 8:31 AM,19/06/24 8:31 AM,26/06/24 2:40 PM,Product 4,Category5,2290
656,ROUT-47941,47941,ROUT,Low,Agent32,Analist6,19/06/24 7:38 AM,19/06/24 7:38 AM,19/06/24 9:50 AM,Product 4,Category29,2296
657,ROUT-11375,11375,ROUT,High,Agent32,Analist56,19/06/24 6:27 AM,19/06/24 6:27 AM,19/06/24 6:32 AM,Product 4,Category4,177
658,PLAT-58149,58149,PLAT,Low,Agent32,Analist8,19/06/24 5:11 PM,19/06/24 3:31 AM,20/06/24 10:52 AM,Product 4,Category5,2336
659,PLAT-04945,04945,PLAT,Low,Agent1,Analist8,26/06/24 10:42 AM,18/06/24 10:58 PM,26/06/24 2:14 PM,Product 4,Category7,852
660,ROUT-28031,28031,ROUT,Medium,Agent17,Analist12,20/06/24 9:11 AM,18/06/24 10:45 PM,21/06/24 10:08 AM,Product 4,Category4,937
661,PLAT-55749,55749,PLAT,Low,Agent23,Analist7,19/06/24 2:07 PM,18/06/24 9:44 PM,21/06/24 10:27 AM,Product 4,Category34,201
662,NET-59646,59646,NET,Low,Agent3,Analist8,18/06/24 9:35 PM,18/06/24 9:35 PM,19/06/24 2:58 PM,Product 4,Category23,1085
663,SITE-07804,07804,SITE,Low,Agent3,Analist10,18/06/24 9:16 PM,18/06/24 9:16 PM,19/06/24 10:35 AM,Product 4,Category40,1755
664,BASE-57526,57526,BASE,Medium,Agent1,Analist6,18/06/24 8:07 PM,18/06/24 8:07 PM,19/06/24 10:18 AM,Product 4,Category34,158
665,ROUT-78025,78025,ROUT,Low,Agent1,Analist1,18/06/24 7:23 PM,18/06/24 7:23 PM,19/06/24 2:06 PM,Product 4,Category19,166
666,PLAT-60844,60844,PLAT,Medium,Agent23,Analist2,19/06/24 3:11 PM,18/06/24 6:55 PM,27/06/24 8:58 PM,Product 4,Category5,390
667,ROUT-74457,74457,ROUT,Low,Agent6,Analist3,26/06/24 3:56 PM,18/06/24 6:51 PM,26/06/24 6:14 PM,Product 4,Category19,354
668,PLAT-18757,18757,PLAT,Low,Agent6,Analist8,18/06/24 6:41 PM,18/06/24 6:41 PM,20/06/24 1:29 PM,Product 4,Category13,1570
669,ROUT-61693,61693,ROUT,Low,Agent34,Analist12,21/06/24 11:06 PM,18/06/24 6:39 PM,24/06/24 11:09 AM,Product 4,Category4,702
670,PLAT-79706,79706,PLAT,Low,Agent48,Analist3,18/06/24 6:22 PM,18/06/24 6:22 PM,27/06/24 4:40 PM,Product 4,Category19,546
671,BASE-12922,12922,BASE,Low,Agent12,Analist6,24/06/24 9:43 AM,18/06/24 6:20 PM,24/06/24 2:32 PM,Product 4,Category5,1104
672,PLAT-40740,40740,PLAT,Low,Agent48,Analist5,19/06/24 9:24 AM,18/06/24 6:17 PM,19/06/24 3:02 PM,Product 4,Category3,106
673,ROUT-61575,61575,ROUT,High,Agent12,Analist47,18/06/24 6:09 PM,18/06/24 6:09 PM,26/06/24 10:47 AM,Product 4,Category4,1784
674,PLAT-80713,80713,PLAT,Low,Agent23,Analist8,18/06/24 8:44 PM,18/06/24 6:01 PM,21/06/24 3:09 PM,Product 4,Category5,1351
675,ROUT-74664,74664,ROUT,Low,Agent37,Analist55,18/06/24 6:01 PM,18/06/24 6:01 PM,25/06/24 4:02 PM,Product 4,Category16,1322
676,PLAT-63990,63990,PLAT,Low,Agent48,Analist5,19/06/24 3:58 PM,18/06/24 6:00 PM,19/06/24 4:42 PM,Product 4,Category39,894
677,SITE-68222,68222,SITE,Low,Agent10,Analist10,24/06/24 9:58 AM,18/06/24 5:51 PM,24/06/24 10:32 AM,Product 4,Category9,1306
678,PLAT-77975,77975,PLAT,Low,Agent2,Analist38,18/06/24 5:50 PM,18/06/24 5:50 PM,19/06/24 4:48 PM,Product 4,Category36,141
679,BASE-58377,58377,BASE,Medium,Agent27,Analist3,18/06/24 5:50 PM,18/06/24 5:50 PM,21/06/24 9:37 AM,Product 4,Category10,41
680,ROUT-31895,31895,ROUT,Low,Agent37,Analist3,18/06/24 5:51 PM,18/06/24 5:49 PM,26/06/24 10:06 AM,Product 4,Category0,784
681,PLAT-45471,45471,PLAT,Low,Agent47,Analist6,18/06/24 5:49 PM,18/06/24 5:49 PM,19/06/24 2:29 PM,Product 4,Category5,1750
682,PLAT-86275,86275,PLAT,Low,Agent2,Analist14,18/06/24 5:45 PM,18/06/24 5:45 PM,19/06/24 4:44 PM,Product 4,Category36,1339
683,PLAT-17577,17577,PLAT,Low,Agent6,Analist9,18/06/24 6:13 PM,18/06/24 5:44 PM,20/06/24 1:23 AM,Product 4,Category13,2107
684,CONN-8235,8235,CONN,Medium,Agent11,Analist3,18/06/24 5:43 PM,18/06/24 5:43 PM,18/06/24 5:56 PM,Product 4,Category10,291
685,SITE-41632,41632,SITE,Low,Agent10,Analist10,18/06/24 5:33 PM,18/06/24 5:33 PM,24/06/24 3:36 PM,Product 4,Category20,266
686,ROUT-95033,95033,ROUT,Low,Agent7,Analist1,18/06/24 5:43 PM,18/06/24 5:31 PM,19/06/24 2:15 PM,Product 4,Category0,476
687,PLAT-58211,58211,PLAT,Medium,Agent2,Analist11,24/06/24 9:58 AM,18/06/24 5:27 PM,24/06/24 12:43 PM,Product 4,Category34,1860
688,PLAT-95151,95151,PLAT,Low,Agent14,Analist3,18/06/24 5:25 PM,18/06/24 5:25 PM,19/06/24 3:34 AM,Product 4,Category5,1878
689,PLAT-10106,10106,PLAT,Medium,Agent8,Analist5,20/06/24 10:39 AM,18/06/24 5:24 PM,20/06/24 4:55 PM,Product 4,Category31,608
690,PLAT-35145,35145,PLAT,Low,Agent21,Analist9,18/06/24 5:23 PM,18/06/24 5:23 PM,19/06/24 11:41 AM,Product 4,Category36,1538
691,NET-33288,33288,NET,High,Agent27,Analist13,18/06/24 5:22 PM,18/06/24 5:22 PM,18/06/24 6:08 PM,Product 4,Category23,587
692,PLAT-05214,05214,PLAT,Low,Agent13,Analist6,21/06/24 12:47 PM,18/06/24 5:20 PM,25/06/24 11:41 AM,Product 4,Category5,1893
693,NET-46427,46427,NET,Medium,Agent37,Analist9,21/06/24 9:56 AM,18/06/24 5:15 PM,21/06/24 10:33 AM,Product 4,Category8,561
694,PLAT-93895,93895,PLAT,Low,Agent21,Analist5,20/06/24 2:18 PM,18/06/24 5:14 PM,21/06/24 2:46 PM,Product 4,Category3,1696
695,SITE-01655,01655,SITE,Medium,Agent63,Analist10,19/06/24 1:01 PM,18/06/24 5:10 PM,26/06/24 1:05 PM,Product 4,Category57,688
696,ROUT-25226,25226,ROUT,Low,Agent15,Analist45,19/06/24 8:42 AM,18/06/24 5:08 PM,21/06/24 10:05 AM,Product 4,Category19,388
697,PLAT-97031,97031,PLAT,Low,Agent48,Analist57,18/06/24 5:33 PM,18/06/24 5:07 PM,21/06/24 2:51 PM,Product 4,Category19,180
698,BASE-43639,43639,BASE,Low,Agent5,Analist9,21/06/24 2:17 PM,18/06/24 5:02 PM,24/06/24 3:31 PM,Product 4,Category79,1350
699,PLAT-18176,18176,PLAT,Low,Agent15,Analist14,18/06/24 4:52 PM,18/06/24 4:52 PM,20/06/24 4:40 PM,Product 4,Category19,345
700,PLAT-09400,09400,PLAT,Low,Agent36,Analist6,18/06/24 4:52 PM,18/06/24 4:45 PM,20/06/24 11:51 AM,Product 4,Category3,291
701,PLAT-32826,32826,PLAT,Low,Agent48,Analist3,18/06/24 4:41 PM,18/06/24 4:41 PM,24/06/24 4:44 PM,Product 4,Category2,2009
702,PLAT-28469,28469,PLAT,Low,Agent14,Analist12,18/06/24 4:25 PM,18/06/24 4:18 PM,20/06/24 8:43 AM,Product 4,Category3,1316
703,PLAT-22778,22778,PLAT,Low,Agent20,Analist14,20/06/24 4:08 PM,18/06/24 4:14 PM,20/06/24 4:42 PM,Product 4,Category20,1697
704,PLAT-78424,78424,PLAT,Low,Agent19,Analist5,18/06/24 4:02 PM,18/06/24 4:02 PM,21/06/24 3:35 PM,Product 4,Category3,617
705,ROUT-82606,82606,ROUT,Low,Agent40,Analist4,26/06/24 9:47 AM,18/06/24 4:00 PM,27/06/24 8:17 AM,Product 4,Category16,2032
706,PLAT-92975,92975,PLAT,Low,Agent14,Analist14,18/06/24 4:09 PM,18/06/24 3:56 PM,19/06/24 11:56 AM,Product 4,Category3,2242
707,PLAT-46164,46164,PLAT,Low,Agent6,Analist14,18/06/24 6:17 PM,18/06/24 3:52 PM,21/06/24 10:44 AM,Product 4,Category22,371
708,ROUT-87742,87742,ROUT,Low,Agent15,Analist12,18/06/24 3:39 PM,18/06/24 3:39 PM,19/06/24 10:40 AM,Product 4,Category19,2235
709,PLAT-76105,76105,PLAT,Low,Agent14,Analist8,22/06/24 4:12 PM,18/06/24 3:38 PM,24/06/24 10:53 AM,Product 4,Category5,954
710,NET-61916,61916,NET,High,Agent27,Analist16,18/06/24 3:22 PM,18/06/24 3:22 PM,27/06/24 5:39 PM,Product 4,Category10,1016
711,PLAT-89049,89049,PLAT,Low,Agent40,Analist11,19/06/24 8:37 AM,18/06/24 3:21 PM,19/06/24 10:37 AM,Product 4,Category36,2222
712,PLAT-89936,89936,PLAT,Low,Agent15,Analist14,24/06/24 10:19 AM,18/06/24 3:13 PM,24/06/24 10:29 AM,Product 4,Category12,2049
713,ROUT-13559,13559,ROUT,Low,Agent48,Analist6,19/06/24 9:39 AM,18/06/24 3:09 PM,21/06/24 2:22 PM,Product 4,Category13,1177
714,PLAT-32494,32494,PLAT,Medium,Agent38,Analist9,26/06/24 10:17 AM,18/06/24 3:01 PM,26/06/24 10:25 AM,Product 4,Category36,57
715,SITE-50210,50210,SITE,Low,Agent15,Analist10,18/06/24 2:58 PM,18/06/24 2:58 PM,18/06/24 5:01 PM,Product 4,Category4,494
716,ROUT-94706,94706,ROUT,Low,Agent23,Analist12,18/06/24 3:14 PM,18/06/24 2:47 PM,20/06/24 10:30 AM,Product 4,Category4,654
717,SITE-63042,63042,SITE,Low,Agent2,Analist11,18/06/24 2:43 PM,18/06/24 2:43 PM,18/06/24 3:54 PM,Product 4,Category27,669
718,BASE-91485,91485,BASE,High,Agent64,Analist33,18/06/24 2:36 PM,18/06/24 2:36 PM,19/06/24 12:01 PM,Product 4,Category55,2207
719,ROUT-48926,48926,ROUT,Low,Agent6,Analist12,19/06/24 9:56 AM,18/06/24 2:22 PM,19/06/24 3:41 PM,Product 4,Category33,7
720,PLAT-07256,07256,PLAT,Low,Agent15,Analist5,18/06/24 2:50 PM,18/06/24 2:18 PM,18/06/24 3:37 PM,Product 4,Category3,864
721,ROUT-14659,14659,ROUT,Low,Agent2,Analist12,18/06/24 2:21 PM,18/06/24 2:17 PM,19/06/24 2:06 PM,Product 4,Category29,1889
722,PLAT-75593,75593,PLAT,Medium,Agent6,Analist5,18/06/24 6:02 PM,18/06/24 2:08 PM,20/06/24 8:42 AM,Product 4,Category31,1792
723,PLAT-98163,98163,PLAT,Medium,Agent10,Analist0,18/06/24 2:02 PM,18/06/24 2:02 PM,26/06/24 2:31 PM,Product 4,Category33,1623
724,NET-00051,00051,NET,Medium,Agent65,Analist16,18/06/24 1:40 PM,18/06/24 1:40 PM,25/06/24 12:56 PM,Product 4,Category57,2239
725,ROUT-02607,02607,ROUT,Low,Agent13,Analist3,18/06/24 1:39 PM,18/06/24 1:39 PM,25/06/24 3:38 PM,Product 4,Category0,2197
726,CONN-5184,5184,CONN,Medium,Agent43,Analist22,,18/06/24 1:23 PM,21/06/24 8:33 AM,Product 4,Category55,439
727,ROUT-52800,52800,ROUT,Medium,Agent5,Analist30,21/06/24 2:19 PM,18/06/24 1:16 PM,24/06/24 11:56 AM,Product 4,Category19,566
728,SITE-45714,45714,SITE,Medium,Agent2,Analist3,18/06/24 12:51 PM,18/06/24 12:51 PM,25/06/24 4:04 PM,Product 4,Category7,1401
729,PLAT-55242,55242,PLAT,Low,Agent15,Analist0,18/06/24 12:10 PM,18/06/24 12:10 PM,20/06/24 4:11 PM,Product 4,Category19,571
730,SITE-88879,88879,SITE,Medium,Agent30,Analist10,18/06/24 2:52 PM,18/06/24 12:04 PM,27/06/24 10:00 AM,Product 4,Category36,2316
731,ROUT-19827,19827,ROUT,Low,Agent13,Analist12,19/06/24 10:45 AM,18/06/24 11:57 AM,20/06/24 10:43 AM,Product 4,Category4,1789
732,ROUT-47083,47083,ROUT,Low,Agent2,Analist21,18/06/24 11:58 AM,18/06/24 11:55 AM,19/06/24 12:16 PM,Product 4,Category9,1206
733,PLAT-29999,29999,PLAT,Low,Agent66,Analist2,19/06/24 5:31 PM,18/06/24 11:44 AM,20/06/24 11:49 AM,Product 4,Category32,1480
734,NET-15971,15971,NET,Medium,Agent11,Analist51,18/06/24 11:40 AM,18/06/24 11:40 AM,20/06/24 8:55 AM,Product 4,Category10,950
735,PLAT-89044,89044,PLAT,High,Agent66,Analist8,18/06/24 11:40 AM,18/06/24 11:40 AM,27/06/24 4:16 PM,Product 4,Category5,929
736,ROUT-25683,25683,ROUT,Low,Agent5,Analist2,25/06/24 8:58 AM,18/06/24 11:39 AM,25/06/24 10:38 AM,Product 4,Category19,288
737,ROUT-03046,03046,ROUT,High,Agent27,Analist21,18/06/24 11:39 AM,18/06/24 11:39 AM,21/06/24 10:11 AM,Product 4,Category0,2128
738,SITE-54163,54163,SITE,Low,Agent20,Analist10,18/06/24 11:50 AM,18/06/24 11:35 AM,18/06/24 12:06 PM,Product 4,Category44,1511
739,ROUT-14740,14740,ROUT,Medium,Agent8,Analist3,19/06/24 3:39 PM,18/06/24 11:33 AM,20/06/24 1:35 PM,Product 4,Category0,2308
740,ROUT-20074,20074,ROUT,High,Agent47,Analist30,18/06/24 11:39 AM,18/06/24 11:31 AM,21/06/24 12:20 PM,Product 4,Category6,515
741,NET-24764,24764,NET,Medium,Agent22,Analist16,18/06/24 11:15 AM,18/06/24 11:15 AM,28/06/24 7:59 AM,Product 4,Category10,2222
742,CONN-0099,0099,CONN,High,Agent27,Analist15,18/06/24 11:14 AM,18/06/24 11:14 AM,26/06/24 5:05 PM,Product 4,Category10,1296
743,PLAT-27332,27332,PLAT,Medium,Agent38,Analist9,19/06/24 10:44 AM,18/06/24 11:12 AM,19/06/24 5:14 PM,Product 4,Category7,727
744,PLAT-16576,16576,PLAT,Low,Agent30,Analist12,20/06/24 1:45 PM,18/06/24 11:05 AM,24/06/24 10:53 AM,Product 4,Category4,1339
745,ROUT-17776,17776,ROUT,Medium,Agent15,Analist3,18/06/24 11:00 AM,18/06/24 11:00 AM,19/06/24 10:42 AM,Product 4,Category19,625
746,PLAT-95101,95101,PLAT,Low,Agent6,Analist5,18/06/24 11:03 AM,18/06/24 10:58 AM,19/06/24 9:36 AM,Product 4,Category13,861
747,ROUT-89044,89044,ROUT,Low,Agent24,Analist0,18/06/24 10:56 AM,18/06/24 10:56 AM,19/06/24 2:27 PM,Product 4,Category4,264
748,ROUT-48206,48206,ROUT,Medium,Agent31,Analist48,18/06/24 10:52 AM,18/06/24 10:46 AM,21/06/24 2:50 PM,Product 4,Category4,1840
749,CONN-2698,2698,CONN,Low,Agent41,Analist39,18/06/24 10:36 AM,18/06/24 10:36 AM,19/06/24 1:06 AM,Product 4,Category27,1929
750,ROUT-25640,25640,ROUT,Low,Agent7,Analist0,19/06/24 9:29 AM,18/06/24 10:24 AM,26/06/24 11:59 AM,Product 4,Category33,2244
751,ROUT-36613,36613,ROUT,Low,Agent14,Analist1,18/06/24 10:15 AM,18/06/24 10:09 AM,20/06/24 8:44 AM,Product 4,Category29,1827
752,SITE-64185,64185,SITE,Low,Agent66,Analist10,18/06/24 10:09 AM,18/06/24 10:09 AM,21/06/24 6:40 PM,Product 4,Category4,1599
753,PLAT-42381,42381,PLAT,Low,Agent48,Analist27,18/06/24 10:17 AM,18/06/24 10:05 AM,21/06/24 9:30 AM,Product 4,Category36,2111
754,ROUT-77985,77985,ROUT,High,Agent47,Analist18,18/06/24 10:10 AM,18/06/24 10:03 AM,26/06/24 10:56 AM,Product 4,Category16,373
755,PLAT-77883,77883,PLAT,Low,Agent30,Analist2,24/06/24 4:58 PM,18/06/24 9:55 AM,24/06/24 5:05 PM,Product 4,Category3,1932
756,BASE-72662,72662,BASE,Medium,Agent27,Analist28,21/06/24 5:51 PM,18/06/24 9:48 AM,26/06/24 9:54 AM,Product 4,Category10,1907
757,BASE-83819,83819,BASE,Medium,Agent50,Analist32,18/06/24 9:35 AM,18/06/24 9:35 AM,26/06/24 9:05 AM,Product 4,Category57,1200
758,ROUT-59320,59320,ROUT,Low,Agent15,Analist12,18/06/24 9:32 AM,18/06/24 9:32 AM,19/06/24 2:59 PM,Product 4,Category4,2035
759,NET-07703,07703,NET,Medium,Agent61,Analist5,18/06/24 9:08 AM,18/06/24 9:08 AM,20/06/24 5:42 PM,Product 4,Category23,1978
760,PLAT-84908,84908,PLAT,Low,Agent15,Analist7,18/06/24 8:41 AM,18/06/24 8:41 AM,19/06/24 8:27 AM,Product 4,Category22,398
761,ROUT-19452,19452,ROUT,Medium,Agent15,Analist3,18/06/24 9:24 AM,18/06/24 8:28 AM,27/06/24 4:41 PM,Product 4,Category17,1594
762,PLAT-98981,98981,PLAT,Low,Agent24,Analist3,18/06/24 8:25 AM,18/06/24 8:25 AM,27/06/24 2:29 PM,Product 4,Category0,619
763,CONN-5559,5559,CONN,Medium,Agent43,Analist22,18/06/24 8:17 AM,18/06/24 8:17 AM,18/06/24 9:13 AM,Product 4,Category51,613
764,ROUT-58590,58590,ROUT,Low,Agent55,Analist12,18/06/24 7:57 AM,18/06/24 7:57 AM,18/06/24 11:17 AM,Product 4,Category13,104
765,ROUT-14394,14394,ROUT,Low,Agent45,Analist3,18/06/24 7:45 AM,18/06/24 7:45 AM,26/06/24 9:59 AM,Product 4,Category0,728
766,NET-32991,32991,NET,Medium,Agent45,Analist17,18/06/24 6:41 AM,18/06/24 6:41 AM,28/06/24 9:17 AM,Product 4,Category23,1907
767,SITE-65261,65261,SITE,Low,Agent45,Analist10,18/06/24 6:18 AM,18/06/24 6:18 AM,18/06/24 6:00 PM,Product 4,Category38,761
768,PLAT-36870,36870,PLAT,Low,Agent45,Analist2,18/06/24 9:25 AM,18/06/24 6:07 AM,19/06/24 11:28 AM,Product 4,Category5,2096
769,CONN-1863,1863,CONN,Low,Agent32,Analist39,18/06/24 6:06 AM,18/06/24 6:06 AM,19/06/24 12:23 AM,Product 4,Category21,1102
770,CONN-4131,4131,CONN,Highest,Agent45,Analist39,18/06/24 5:52 AM,18/06/24 5:52 AM,21/06/24 12:20 PM,Product 4,Category23,1126
771,PLAT-53278,53278,PLAT,Low,Agent45,Analist6,18/06/24 9:30 AM,17/06/24 11:31 PM,26/06/24 12:13 PM,Product 4,Category5,641
772,PLAT-00165,00165,PLAT,Medium,Agent56,Analist2,17/06/24 10:46 PM,17/06/24 10:46 PM,19/06/24 3:36 PM,Product 4,Category5,710
773,SITE-90712,90712,SITE,Low,Agent3,Analist10,18/06/24 2:40 PM,17/06/24 10:25 PM,19/06/24 4:35 PM,Product 4,Category36,1476
774,PLAT-58736,58736,PLAT,Lowest,Agent3,Analist5,19/06/24 9:40 AM,17/06/24 10:04 PM,27/06/24 9:18 AM,Product 4,Category3,11
775,NET-06628,06628,NET,Low,Agent1,Analist17,17/06/24 11:57 PM,17/06/24 9:25 PM,21/06/24 4:42 PM,Product 4,Category37,271
776,ROUT-24279,24279,ROUT,Low,Agent23,Analist1,17/06/24 9:23 PM,17/06/24 8:43 PM,18/06/24 5:01 PM,Product 4,Category19,589
777,ROUT-86208,86208,ROUT,Low,Agent1,Analist21,17/06/24 9:29 PM,17/06/24 8:10 PM,27/06/24 4:53 PM,Product 4,Category14,2032
778,PLAT-06729,06729,PLAT,Low,Agent1,Analist8,18/06/24 7:52 AM,17/06/24 7:39 PM,18/06/24 10:48 AM,Product 4,Category80,821
779,ROUT-34170,34170,ROUT,Low,Agent6,Analist8,19/06/24 9:39 AM,17/06/24 6:59 PM,19/06/24 12:11 PM,Product 4,Category16,1568
780,PLAT-36248,36248,PLAT,Low,Agent23,Analist9,17/06/24 6:38 PM,17/06/24 6:38 PM,27/06/24 5:17 PM,Product 4,Category20,739
781,ROUT-45759,45759,ROUT,Low,Agent6,Analist30,18/06/24 4:47 PM,17/06/24 6:34 PM,20/06/24 8:33 AM,Product 4,Category6,815
782,PLAT-32040,32040,PLAT,Low,Agent6,Analist8,18/06/24 4:32 PM,17/06/24 6:30 PM,20/06/24 8:34 AM,Product 4,Category5,313
783,ROUT-84870,84870,ROUT,Low,Agent5,Analist12,19/06/24 9:33 AM,17/06/24 6:28 PM,21/06/24 5:58 AM,Product 4,Category4,78
784,ROUT-91876,91876,ROUT,Low,Agent9,Analist5,18/06/24 9:31 AM,17/06/24 6:19 PM,20/06/24 1:41 PM,Product 4,Category34,1778
785,SITE-89150,89150,SITE,Low,Agent36,Analist10,17/06/24 6:15 PM,17/06/24 6:15 PM,26/06/24 11:12 AM,Product 4,Category3,325
786,PLAT-96673,96673,PLAT,Low,Agent47,Analist6,18/06/24 2:41 PM,17/06/24 6:05 PM,19/06/24 7:22 AM,Product 4,Category7,475
787,PLAT-90491,90491,PLAT,Low,Agent36,Analist11,18/06/24 9:33 AM,17/06/24 6:04 PM,18/06/24 12:20 PM,Product 4,Category12,384
788,PLAT-08874,08874,PLAT,Medium,Agent2,Analist3,17/06/24 6:03 PM,17/06/24 6:03 PM,25/06/24 11:49 PM,Product 4,Category5,2087
789,PLAT-58592,58592,PLAT,Low,Agent4,Analist0,17/06/24 6:02 PM,17/06/24 5:55 PM,18/06/24 1:51 PM,Product 4,Category9,654
790,ROUT-83268,83268,ROUT,Low,Agent13,Analist8,18/06/24 9:34 AM,17/06/24 5:54 PM,19/06/24 5:55 AM,Product 4,Category4,433
791,PLAT-60853,60853,PLAT,Low,Agent36,Analist3,17/06/24 5:53 PM,17/06/24 5:53 PM,17/06/24 6:00 PM,Product 4,Category6,2245
792,ROUT-63723,63723,ROUT,Medium,Agent2,Analist0,17/06/24 5:43 PM,17/06/24 5:43 PM,18/06/24 5:54 PM,Product 4,Category9,562
793,PLAT-74535,74535,PLAT,Low,Agent4,Analist9,17/06/24 5:41 PM,17/06/24 5:41 PM,18/06/24 9:13 AM,Product 4,Category3,1233
794,PLAT-54704,54704,PLAT,Low,Agent12,Analist54,19/06/24 9:33 AM,17/06/24 5:37 PM,26/06/24 11:49 AM,Product 4,Category5,1001
795,ROUT-90546,90546,ROUT,Low,Agent7,Analist0,17/06/24 5:53 PM,17/06/24 5:36 PM,18/06/24 4:42 PM,Product 4,Category9,940
796,PLAT-49550,49550,PLAT,Low,Agent10,Analist0,17/06/24 5:37 PM,17/06/24 5:35 PM,18/06/24 11:31 AM,Product 4,Category0,186
797,PLAT-46086,46086,PLAT,Low,Agent4,Analist3,17/06/24 5:24 PM,17/06/24 5:24 PM,20/06/24 9:49 AM,Product 4,Category5,279
798,PLAT-57071,57071,PLAT,Low,Agent10,Analist6,27/06/24 11:05 AM,17/06/24 5:17 PM,27/06/24 3:52 PM,Product 4,Category3,1991
799,SITE-22751,22751,SITE,Medium,Agent48,Analist10,17/06/24 5:20 PM,17/06/24 5:12 PM,25/06/24 8:22 AM,Product 4,Category14,1382
800,PLAT-33968,33968,PLAT,Medium,Agent30,Analist2,20/06/24 11:09 AM,17/06/24 4:58 PM,21/06/24 2:06 PM,Product 4,Category32,124
801,PLAT-12840,12840,PLAT,Low,Agent10,Analist11,26/06/24 9:52 AM,17/06/24 4:55 PM,26/06/24 10:15 AM,Product 4,Category6,1182
802,ROUT-23050,23050,ROUT,Medium,Agent15,Analist12,17/06/24 4:53 PM,17/06/24 4:52 PM,19/06/24 8:41 AM,Product 4,Category4,1664
803,PLAT-46126,46126,PLAT,Low,Agent41,Analist7,17/06/24 4:46 PM,17/06/24 4:46 PM,18/06/24 12:45 PM,Product 4,Category81,1907
804,PLAT-35689,35689,PLAT,Low,Agent16,Analist11,17/06/24 4:45 PM,17/06/24 4:45 PM,19/06/24 8:14 AM,Product 4,Category0,784
805,ROUT-92772,92772,ROUT,Low,Agent40,Analist12,18/06/24 9:27 AM,17/06/24 4:45 PM,24/06/24 3:09 PM,Product 4,Category6,1216
806,PLAT-83881,83881,PLAT,Low,Agent14,Analist5,22/06/24 4:13 PM,17/06/24 4:42 PM,24/06/24 12:16 PM,Product 4,Category2,2303
807,PLAT-44867,44867,PLAT,Low,Agent12,Analist29,21/06/24 3:55 PM,17/06/24 4:35 PM,24/06/24 2:51 PM,Product 4,Category11,145
808,PLAT-05862,05862,PLAT,Low,Agent40,Analist14,18/06/24 9:40 AM,17/06/24 4:29 PM,19/06/24 9:30 AM,Product 4,Category7,1651
809,ROUT-13632,13632,ROUT,Low,Agent2,Analist12,17/06/24 4:26 PM,17/06/24 4:26 PM,18/06/24 8:58 AM,Product 4,Category0,2069
810,PLAT-52532,52532,PLAT,Low,Agent48,Analist5,24/06/24 9:37 AM,17/06/24 4:24 PM,27/06/24 12:23 PM,Product 4,Category31,630
811,PLAT-90346,90346,PLAT,Low,Agent12,Analist2,17/06/24 4:18 PM,17/06/24 4:18 PM,19/06/24 8:26 AM,Product 4,Category5,372
812,ROUT-81723,81723,ROUT,Low,Agent29,Analist1,17/06/24 4:24 PM,17/06/24 4:18 PM,20/06/24 11:51 AM,Product 4,Category29,89
813,PLAT-70709,70709,PLAT,Low,Agent40,Analist9,18/06/24 2:54 PM,17/06/24 4:08 PM,18/06/24 4:32 PM,Product 4,Category1,2102
814,SITE-21111,21111,SITE,Low,Agent12,Analist7,17/06/24 4:07 PM,17/06/24 4:07 PM,19/06/24 3:10 PM,Product 4,Category28,687
815,SITE-44529,44529,SITE,Medium,Agent8,Analist10,18/06/24 11:14 AM,17/06/24 4:02 PM,18/06/24 9:25 PM,Product 4,Category34,1719
816,DATA-24123,24123,DATA,Low,Agent47,Analist11,18/06/24 4:03 PM,17/06/24 4:00 PM,19/06/24 5:35 AM,Product 4,Category73,1835
817,PLAT-37732,37732,PLAT,Medium,Agent24,Analist12,17/06/24 4:42 PM,17/06/24 3:57 PM,18/06/24 11:00 AM,Product 4,Category14,574
818,PLAT-79041,79041,PLAT,Medium,Agent30,Analist1,18/06/24 9:09 AM,17/06/24 3:53 PM,20/06/24 4:09 PM,Product 4,Category55,726
